state,total_population,households_with_car,electric_lighting,total_households,income_330k_545k,income_above_545k,income_middle_high,electric_pct,car_per_1000,station_count,stations_per_million,pop_norm,car_norm,income_norm,electric_norm,demand_score,supply_score,gap_score,station_score,showroom_score
Orissa,41974218,172660,4155886,12759133,2584,1351,3935,32.57185264860865,13.532267435412736,198.0,4.717181389775981,0.21006819593790757,0.06674351237976976,0.034000673965074786,0.32571852648608646,14.756769413739176,4.198926980798365,10.557842432940811,42.891608561214845,41.902782633499584
Pondicherry,1247953,16879,294205,387999,5391,4679,10070,75.8262263562535,43.502689439921234,23.0,18.4301812648393,0.006245625238933565,0.21456288127948192,0.08701061927021679,0.758262263562535,19.13186835054317,16.40534441640655,2.726523934136619,44.72226832908638,32.08704491572688
Punjab,27743338,709711,5225793,7847447,17946,9560,27506,66.59226879773766,90.43845724603173,158.0,5.695060918769039,0.13884696941716929,0.4460583061646899,0.2376677352181314,0.6659226879773766,31.941635283832102,5.069371510906703,26.8722637729254,54.88421751208439,45.215395957327516
Rajasthan,68548437,586254,8430040,18070963,13311,10589,23900,46.64964451534763,32.44176859860761,500.0,7.294112336945043,0.34306408031123564,0.16000848301419573,0.20650981137618485,0.4664964451534763,28.16764684795491,6.492742712619591,21.674904135335318,50.87419815890464,50.930077202761936
Sikkim,610577,10599,118578,169022,34,29,63,70.15536439043439,62.70781318408254,2.0,3.275590138508329,0.0030557521970076915,0.3092859142443078,0.0005443564065564705,0.7015536439043438,18.37601275173203,2.915716542177076,15.460296209554954,49.43374876623014,34.102781229329985
Tamil Nadu,72147030,794957,17265059,23166721,23660,15362,39022,74.52525974651311,34.31461016861212,643.0,8.912355782351678,0.3610739438761693,0.1692456655565559,0.33717263010550147,0.7452525974651312,36.47683438919433,7.933197404301634,28.543636984892697,56.74222435542833,54.97614784732539
Tripura,3673917,18443,576787,1066863,224,237,461,54.06383012626739,17.287130587526235,18.0,4.899403007743507,0.018386837277483276,0.08526315489153372,0.003983306403532268,0.5406383012626739,10.984275356028672,4.361128771432689,6.6231465845959825,41.761295609978845,34.236643426816435
Uttar Pradesh,199812341,1250106,12120231,45172443,18679,7154,25833,26.831028377190048,27.674084396985126,582.0,2.912733002812874,1.0,0.1364934297496489,0.22321204842179845,0.26831028377190047,48.01729121086469,2.592724803816297,45.424566407048395,67.3182568292861,75.78890777131825
Uttarakhand,10086292,124006,1738175,3383410,1260,463,1723,51.373466414061554,36.65118918487561,76.0,7.534979157851071,0.05047882402819153,0.18077008238046388,0.014887715690425376,0.5137346641406155,14.364223754868167,6.70714663511312,7.657077119755047,43.3923156607334,34.86588898940987
West Bengal,91276115,448500,10935123,25343715,15941,8720,24661,43.1472773427258,17.696695216151223,318.0,3.4839344334495395,0.45680919678529763,0.08728319935129751,0.21308529114427172,0.431472773427258,29.969625751283512,3.101171034815445,26.86845471646807,53.14904404868541,56.29547075962815
Telangana,34678118,230735,7944661,10493948,3753,2644,6397,75.70707421077367,21.9874350435127,481.0,13.870418227425144,0.17355343431965495,0.10844587945296648,0.05527377671018638,0.7570707421077367,21.523422736882797,12.34654097811972,9.176881758763077,48.8129731673678,38.41129416015161
